Sample,runtime,version,assembly,pipeline,cov_mean,cov_median,cov_stdev,cov_min,cov_max,cov_region_length,cov_uncovered_bases,cov_percent_uncovered
LB26-0122wdh-ready,11.65 seconds,2.0.0,hg38,BWA,316.34,164.00,440.30,1,2112,4501,317,7.04
LB26-0091wdh-ready,10.60 seconds,2.0.0,hg38,BWA,227.47,110.00,322.89,1,1509,4501,307,6.82
LB26-0105wdh-ready,10.87 seconds,2.0.0,hg38,BWA,279.46,128.00,403.48,1,1699,4501,318,7.07
LB26-0103wdh-ready,11.26 seconds,2.0.0,hg38,BWA,157.94,95.00,185.75,1,752,4501,307,6.82
LB26-0107wdh-ready,10.09 seconds,2.0.0,hg38,BWA,253.31,159.00,300.63,1,1411,4501,310,6.89
LB26-0114wdh-ready,11.77 seconds,2.0.0,hg38,BWA,325.60,176.00,430.74,1,1873,4501,298,6.62
TEST_EXOME-NTI_NPH1149,31.28 seconds,2.0.0,hg19,Dragen,99.02,95.00,34.35,16,172,1501,0,0.00
LB26-0101wdh-ready,10.91 seconds,2.0.0,hg38,BWA,242.99,136.00,314.11,1,1362,4501,307,6.82
LB26-0120wdh-ready,9.68 seconds,2.0.0,hg38,BWA,154.04,132.00,138.59,1,599,4501,375,8.33
TEST_EXOME-NTI_NTI1168,47.05 seconds,2.0.0,hg19,Dragen,125.77,126.00,40.57,9,204,1501,0,0.00
LB26-0102wdh-ready,11.65 seconds,2.0.0,hg38,BWA,237.49,152.00,275.26,1,1306,4501,377,8.38
LB26-0097wdh-ready,10.88 seconds,2.0.0,hg38,BWA,239.71,143.00,292.88,1,1362,4501,359,7.98
LB26-0089wdh-ready,10.35 seconds,2.0.0,hg38,BWA,270.08,133.00,375.17,0,1652,4501,378,8.40
LB26-0096wdh-ready,10.72 seconds,2.0.0,hg38,BWA,285.74,148.50,397.46,1,1820,4501,263,5.84
LB26-0094wdh-ready,10.99 seconds,2.0.0,hg38,BWA,223.57,132.00,274.19,0,1247,4501,314,6.98
LB26-0119wdh-ready,9.37 seconds,2.0.0,hg38,BWA,169.91,107.00,202.29,1,983,4501,332,7.38
LB26-0095wdh-ready,9.89 seconds,2.0.0,hg38,BWA,160.93,95.00,197.15,0,850,4501,397,8.82
LB26-0116wdh-ready,11.21 seconds,2.0.0,hg38,BWA,226.24,131.00,284.37,1,1325,4501,282,6.27
TEST_EXOME-NTI_NTI1129,41.65 seconds,2.0.0,hg19,Dragen,132.39,134.00,46.00,11,253,1501,0,0.00
LB26-0106wdh-ready,10.75 seconds,2.0.0,hg38,BWA,258.92,132.00,370.34,1,1686,4501,223,4.95
LB26-0112wdh-ready,10.23 seconds,2.0.0,hg38,BWA,165.98,107.00,199.91,1,879,4501,327,7.27
LB26-0092wdh-ready,10.50 seconds,2.0.0,hg38,BWA,154.81,130.00,141.99,1,672,4501,300,6.67
LB26-0108wdh-ready,10.55 seconds,2.0.0,hg38,BWA,236.83,170.00,271.61,1,1243,4501,296,6.58
LB26-0115wdh-ready,10.97 seconds,2.0.0,hg38,BWA,218.56,160.00,219.84,1,944,4501,296,6.58
LB26-0110wdh-ready,9.87 seconds,2.0.0,hg38,BWA,195.66,143.00,191.96,1,794,4501,328,7.29
TEST_EXOME-NTI_NTIH127,45.35 seconds,2.0.0,hg19,Dragen,131.59,132.00,37.37,9,232,1501,0,0.00
LB26-0098wdh-ready,11.17 seconds,2.0.0,hg38,BWA,257.18,133.00,347.13,1,1588,4501,324,7.20
LB26-0113wdh-ready,10.94 seconds,2.0.0,hg38,BWA,298.55,151.00,402.82,1,1767,4501,338,7.51
LB26-0100wdh-ready,11.69 seconds,2.0.0,hg38,BWA,245.95,138.00,309.82,0,1393,4501,279,6.20
LB26-0093wdh-ready,10.30 seconds,2.0.0,hg38,BWA,159.03,132.00,141.42,1,612,4501,415,9.22
LB26-0109wdh-ready,9.54 seconds,2.0.0,hg38,BWA,210.21,153.00,211.89,1,943,4501,319,7.09
LB26-0121wdh-ready,9.36 seconds,2.0.0,hg38,BWA,173.75,118.00,199.35,1,909,4501,270,6.00
TEST_EXOME-NTI_6120GM004559,47.85 seconds,2.0.0,hg19,Dragen,130.41,124.00,41.28,11,218,1501,0,0.00
LB26-0104wdh-ready,12.60 seconds,2.0.0,hg38,BWA,264.01,161.00,311.86,1,1400,4501,394,8.75
TEST_EXOME-NTI_NTI1193,45.62 seconds,2.0.0,hg19,Dragen,146.99,152.00,41.17,14,246,1501,0,0.00
LB26-0090wdh-ready,10.76 seconds,2.0.0,hg38,BWA,210.06,165.00,196.94,0,905,4501,388,8.62
LB26-0118wdh-ready,10.06 seconds,2.0.0,hg38,BWA,196.09,120.00,222.75,0,914,4501,346,7.69
LB26-0099wdh-ready,11.56 seconds,2.0.0,hg38,BWA,248.36,161.00,303.17,1,1328,4501,209,4.64
LB26-0117wdh-ready,9.73 seconds,2.0.0,hg38,BWA,157.04,123.00,149.31,1,596,4501,386,8.58
LB26-0111wdh-ready,9.81 seconds,2.0.0,hg38,BWA,205.25,138.00,237.62,1,1152,4501,321,7.13
