Sample,runtime,version,assembly,pipeline,cov_mean,cov_median,cov_stdev,cov_min,cov_max,cov_region_length,cov_uncovered_bases,cov_percent_uncovered
sample_f9c28,22.10 seconds,2.0.0-beta.3,hg19,BWA,464.75,283.00,403.82,40,1457,1501,0,0.00
sample_f9146,18.12 seconds,2.0.0-beta.3,hg19,BWA,178.71,119.00,134.17,11,512,1501,0,0.00
sample_99ce5,22.07 seconds,2.0.0-beta.3,hg19,BWA,276.97,187.00,219.23,21,823,1501,0,0.00
sample_824d2,18.08 seconds,2.0.0-beta.3,hg19,BWA,110.68,77.00,73.38,11,278,1501,0,0.00
sample_6c36d,21.65 seconds,2.0.0-beta.3,hg19,BWA,216.61,147.00,180.88,9,735,1501,0,0.00
sample_07b6a,17.49 seconds,2.0.0-beta.3,hg19,BWA,228.02,216.00,92.16,22,432,1501,0,0.00
sample_41eea,21.87 seconds,2.0.0-beta.3,hg19,BWA,466.65,333.00,317.05,41,1200,1501,0,0.00
sample_1a3b5,15.35 seconds,2.0.0-beta.3,hg19,BWA,76.74,40.00,70.17,1,246,1501,0,0.00
sample_619b3,22.82 seconds,2.0.0-beta.3,hg19,BWA,97.73,101.00,59.71,2,216,1501,0,0.00
sample_1a628,23.28 seconds,2.0.0-beta.3,hg19,BWA,516.60,232.00,616.29,36,2178,1501,0,0.00
sample_70ebe,17.19 seconds,2.0.0-beta.3,hg19,BWA,127.22,81.00,101.46,8,402,1501,0,0.00
sample_7d250,22.02 seconds,2.0.0-beta.3,hg19,BWA,271.11,158.00,236.90,18,811,1501,0,0.00
sample_2be62,17.95 seconds,2.0.0-beta.3,hg19,BWA,339.27,166.00,367.07,25,1209,1501,0,0.00
sample_3c44a,20.27 seconds,2.0.0-beta.3,hg19,BWA,158.67,132.00,102.04,12,449,1501,0,0.00
sample_93f08,19.71 seconds,2.0.0-beta.3,hg19,BWA,121.96,104.00,63.91,11,294,1501,0,0.00
sample_a3c68,20.20 seconds,2.0.0-beta.3,hg19,BWA,206.05,146.00,160.29,19,645,1501,0,0.00
sample_91fc0,15.47 seconds,2.0.0-beta.3,hg19,BWA,88.45,61.00,67.00,1,253,1501,2,0.13
sample_0401a,18.15 seconds,2.0.0-beta.3,hg19,BWA,174.15,126.00,131.38,6,543,1501,0,0.00
sample_afdba,19.50 seconds,2.0.0-beta.3,hg19,BWA,97.24,75.00,64.40,8,240,1501,0,0.00
sample_d48ba,17.45 seconds,2.0.0-beta.3,hg19,BWA,303.07,152.00,302.87,19,971,1501,0,0.00
sample_1af50,18.88 seconds,2.0.0-beta.3,hg19,BWA,239.47,167.00,176.14,25,628,1501,0,0.00
sample_dce2e,21.79 seconds,2.0.0-beta.3,hg19,BWA,445.23,241.00,422.20,42,1362,1501,0,0.00
