kestrel_call,confidence,depth_score,haplo_count,flag,is_frameshift,vntr_coverage_mean,vntr_coverage_median,analysis_time_seconds,pair_id,condition,coverage_fraction
,Negative,,,,False,369.76,125.0,,pair_4000,normal,100
Insertion,High_Precision*,0.0255494812004909,67.0,Not flagged,True,367.19,136.0,,pair_4000,mutated,100
,Negative,,,,False,362.8,131.0,,pair_4001,normal,100
Insertion,High_Precision*,0.0085603112840466,28.0,Not flagged,True,367.9,147.0,,pair_4001,mutated,100
,Negative,,,,False,365.76,173.0,,pair_4002,normal,100
Insertion,High_Precision*,0.0077847516177686,131.0,Not flagged,True,366.86,174.0,,pair_4002,mutated,100
,Negative,,,,False,321.59,106.0,,pair_4003,normal,100
Insertion,High_Precision*,0.0095078299776286,28.0,Not flagged,True,336.28,107.0,,pair_4003,mutated,100
,Negative,,,,False,333.8,130.0,,pair_4004,normal,100
Insertion,High_Precision*,0.0226905221428198,112.0,Not flagged,True,353.44,140.0,,pair_4004,mutated,100
,Negative,,,,False,330.22,143.0,,pair_4005,normal,100
,Negative,,,,False,365.3,172.0,,pair_4005,mutated,100
,Negative,,,,False,366.9,117.0,,pair_4006,normal,100
Insertion,High_Precision*,0.0052428529033534,142.0,Not flagged,True,374.92,131.0,,pair_4006,mutated,100
,Negative,,,,False,335.7,115.0,,pair_4007,normal,100
Insertion,Low_Precision,0.0047543581616481,64.0,Not flagged,True,322.97,127.0,,pair_4007,mutated,100
,Negative,,,,False,365.48,140.0,,pair_4008,normal,100
Insertion,High_Precision*,0.015923207227555,118.0,Not flagged,True,375.41,160.0,,pair_4008,mutated,100
,Negative,,,,False,371.0,165.0,,pair_4009,normal,100
Insertion,High_Precision*,0.0182209706808017,70.0,Not flagged,True,369.32,155.0,,pair_4009,mutated,100
,Negative,,,,False,347.4,123.0,,pair_4010,normal,100
Insertion,High_Precision*,0.0129790892451051,26.0,Not flagged,True,350.18,124.0,,pair_4010,mutated,100
,Negative,,,,False,376.08,106.0,,pair_4011,normal,100
Insertion,High_Precision*,0.012096132420818,109.0,Not flagged,True,359.95,119.0,,pair_4011,mutated,100
,Negative,,,,False,373.16,151.0,,pair_4012,normal,100
Insertion,High_Precision*,0.0253488669824606,72.0,Not flagged,True,411.75,177.0,,pair_4012,mutated,100
,Negative,,,,False,374.03,121.0,,pair_4013,normal,100
,Negative,,,,False,370.89,134.0,,pair_4013,mutated,100
,Negative,,,,False,369.18,187.0,,pair_4014,normal,100
,Negative,,,,False,356.42,192.0,,pair_4014,mutated,100
,Negative,,,,False,354.0,155.0,,pair_4015,normal,100
Insertion,High_Precision*,0.0358405657344905,123.0,Not flagged,True,328.37,148.0,,pair_4015,mutated,100
,Negative,,,,False,356.57,130.0,,pair_4016,normal,100
,Negative,,,,False,380.14,134.0,,pair_4016,mutated,100
,Negative,,,,False,367.44,145.0,,pair_4017,normal,100
Insertion,High_Precision,0.0053529608564737,63.0,Not flagged,True,352.72,148.0,,pair_4017,mutated,100
,Negative,,,,False,362.86,162.0,,pair_4018,normal,100
Insertion,High_Precision*,0.0307489830102895,26.0,Not flagged,True,360.84,167.0,,pair_4018,mutated,100
,Negative,,,,False,381.94,148.0,,pair_4019,normal,100
,Negative,,,,False,365.66,136.0,,pair_4019,mutated,100
,Negative,,,,False,371.3,126.0,,pair_4020,normal,100
,Negative,,,,False,338.15,123.0,,pair_4020,mutated,100
,Negative,,,,False,369.52,151.0,,pair_4021,normal,100
Insertion,High_Precision*,0.0191304347826086,295.0,Not flagged,True,355.12,156.0,,pair_4021,mutated,100
,Negative,,,,False,363.23,166.5,,pair_4022,normal,100
,Negative,,,,False,372.8,162.0,,pair_4022,mutated,100
,Negative,,,,False,359.52,170.0,,pair_4023,normal,100
