kestrel_call,confidence,depth_score,haplo_count,flag,is_frameshift,vntr_coverage_mean,vntr_coverage_median,analysis_time_seconds,pair_id,condition,coverage_fraction,coverage_label,source_experiment
,Negative,,,,False,267.57,147.0,3.040872,pair_3000,normal,75.0,ds75,dupC
,Negative,,,,False,181.55,99.0,2.506609,pair_3000,normal,50.0,ds50,dupC
,Negative,,,,False,91.45,53.0,2.301332,pair_3000,normal,25.0,ds25,dupC
,Negative,,,,False,46.81,27.0,2.339949,pair_3000,normal,12.5,ds12,dupC
,Negative,,,,False,25.27,15.0,2.307152,pair_3000,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.023516361619523,372.0,Not flagged,True,266.66,145.0,2.614245,pair_3000,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0282131661442006,371.0,Not flagged,True,179.81,100.0,2.555987,pair_3000,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0469578389295632,371.0,Not flagged,True,91.24,49.0,2.950918,pair_3000,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.043076923076923,372.0,Not flagged,True,45.81,25.0,2.748063,pair_3000,mutated,12.5,ds12,dupC
,Negative,,,,False,24.91,13.0,1.973711,pair_3000,mutated,6.25,ds6,dupC
,Negative,,,,False,278.12,147.0,3.101384,pair_3001,normal,75.0,ds75,dupC
,Negative,,,,False,187.31,95.0,2.673681,pair_3001,normal,50.0,ds50,dupC
,Negative,,,,False,93.41,49.0,1.899286,pair_3001,normal,25.0,ds25,dupC
,Negative,,,,False,47.77,25.0,1.757307,pair_3001,normal,12.5,ds12,dupC
,Negative,,,,False,25.03,12.0,1.432525,pair_3001,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0169491525423728,390.0,Not flagged,True,271.69,144.0,3.247129,pair_3001,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.017974710001045,390.0,Not flagged,True,184.67,102.0,2.880152,pair_3001,mutated,50.0,ds50,dupC
Insertion,High_Precision,0.0191786533249947,391.0,Not flagged,True,94.04,55.0,2.290904,pair_3001,mutated,25.0,ds25,dupC
