n_positive,n_negative,tp,tn,fp,fn,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,npv,f1_score,experiment,subset
10,100,7,100,0,3,0.7,0.3967732199795651,0.892210712513788,1.0,0.963005192523998,1.0,1.0,0.970873786407767,0.8235294117647058,atypical,delGCCCA
10,100,8,100,0,2,0.8,0.4901568467207233,0.9433190520193068,1.0,0.963005192523998,1.0,1.0,0.9803921568627452,0.8888888888888888,atypical,delinsAT
10,100,6,100,0,4,0.6,0.3126695474501864,0.8318224187964902,1.0,0.963005192523998,1.0,1.0,0.9615384615384616,0.75,atypical,dupA
10,100,9,100,0,1,0.9,0.5958436145024278,0.9821242504842788,1.0,0.963005192523998,1.0,1.0,0.99009900990099,0.9473684210526316,atypical,ins25bp
10,100,4,100,0,6,0.4,0.1681775812035096,0.6873304525498135,1.0,0.963005192523998,1.0,1.0,0.9433962264150944,0.5714285714285714,atypical,insA_pos54
10,100,10,100,0,0,1.0,0.7224598312333834,1.0,1.0,0.963005192523998,1.0,1.0,1.0,1.0,atypical,insCCCC
10,100,7,100,0,3,0.7,0.3967732199795651,0.892210712513788,1.0,0.963005192523998,1.0,1.0,0.970873786407767,0.8235294117647058,atypical,insC_pos23
10,100,9,100,0,1,0.9,0.5958436145024278,0.9821242504842788,1.0,0.963005192523998,1.0,1.0,0.99009900990099,0.9473684210526316,atypical,insG
10,100,10,100,0,0,1.0,0.7224598312333834,1.0,1.0,0.963005192523998,1.0,1.0,1.0,1.0,atypical,insG_pos54
10,100,9,100,0,1,0.9,0.5958436145024278,0.9821242504842788,1.0,0.963005192523998,1.0,1.0,0.99009900990099,0.9473684210526316,atypical,insG_pos58
