n_positive,n_negative,tp,tn,fp,fn,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,npv,f1_score,experiment,subset
10,200,6,200,0,4,0.6,0.3126695474501864,0.8318224187964902,1.0,0.9811539940816792,1.0,1.0,0.9803921568627452,0.75,coverage,delGCCCA_ds6
10,200,6,200,0,4,0.6,0.3126695474501864,0.8318224187964902,1.0,0.9811539940816792,1.0,1.0,0.9803921568627452,0.75,coverage,delGCCCA_ds12
10,200,8,200,0,2,0.8,0.4901568467207233,0.9433190520193068,1.0,0.9811539940816792,1.0,1.0,0.99009900990099,0.8888888888888888,coverage,delGCCCA_ds25
10,200,7,200,0,3,0.7,0.3967732199795651,0.892210712513788,1.0,0.9811539940816792,1.0,1.0,0.9852216748768472,0.8235294117647058,coverage,delGCCCA_ds50
10,200,7,200,0,3,0.7,0.3967732199795651,0.892210712513788,1.0,0.9811539940816792,1.0,1.0,0.9852216748768472,0.8235294117647058,coverage,delGCCCA_ds75
10,200,5,200,0,5,0.5,0.2365895936154873,0.7634104063845126,1.0,0.9811539940816792,1.0,1.0,0.975609756097561,0.6666666666666666,coverage,delinsAT_ds6
10,200,8,200,0,2,0.8,0.4901568467207233,0.9433190520193068,1.0,0.9811539940816792,1.0,1.0,0.99009900990099,0.8888888888888888,coverage,delinsAT_ds12
10,200,9,200,0,1,0.9,0.5958436145024278,0.9821242504842788,1.0,0.9811539940816792,1.0,1.0,0.9950248756218906,0.9473684210526316,coverage,delinsAT_ds25
10,200,10,200,0,0,1.0,0.7224598312333834,1.0,1.0,0.9811539940816792,1.0,1.0,1.0,1.0,coverage,delinsAT_ds50
10,200,9,200,0,1,0.9,0.5958436145024278,0.9821242504842788,1.0,0.9811539940816792,1.0,1.0,0.9950248756218906,0.9473684210526316,coverage,delinsAT_ds75
10,200,5,200,0,5,0.5,0.2365895936154873,0.7634104063845126,1.0,0.9811539940816792,1.0,1.0,0.975609756097561,0.6666666666666666,coverage,dupA_ds6
10,200,8,200,0,2,0.8,0.4901568467207233,0.9433190520193068,1.0,0.9811539940816792,1.0,1.0,0.99009900990099,0.8888888888888888,coverage,dupA_ds12
10,200,8,200,0,2,0.8,0.4901568467207233,0.9433190520193068,1.0,0.9811539940816792,1.0,1.0,0.99009900990099,0.8888888888888888,coverage,dupA_ds25
10,200,7,200,0,3,0.7,0.3967732199795651,0.892210712513788,1.0,0.9811539940816792,1.0,1.0,0.9852216748768472,0.8235294117647058,coverage,dupA_ds50
10,200,6,200,0,4,0.6,0.3126695474501864,0.8318224187964902,1.0,0.9811539940816792,1.0,1.0,0.9803921568627452,0.75,coverage,dupA_ds75
10,200,4,200,0,6,0.4,0.1681775812035096,0.6873304525498135,1.0,0.9811539940816792,1.0,1.0,0.970873786407767,0.5714285714285714,coverage,ins25bp_ds6
10,200,9,200,0,1,0.9,0.5958436145024278,0.9821242504842788,1.0,0.9811539940816792,1.0,1.0,0.9950248756218906,0.9473684210526316,coverage,ins25bp_ds12
10,200,9,200,0,1,0.9,0.5958436145024278,0.9821242504842788,1.0,0.9811539940816792,1.0,1.0,0.9950248756218906,0.9473684210526316,coverage,ins25bp_ds25
10,200,10,200,0,0,1.0,0.7224598312333834,1.0,1.0,0.9811539940816792,1.0,1.0,1.0,1.0,coverage,ins25bp_ds50
10,200,10,200,0,0,1.0,0.7224598312333834,1.0,1.0,0.9811539940816792,1.0,1.0,1.0,1.0,coverage,ins25bp_ds75
10,200,2,200,0,8,0.2,0.0566809479806932,0.5098431532792767,1.0,0.9811539940816792,1.0,1.0,0.9615384615384616,0.3333333333333333,coverage,insA_pos54_ds6
10,200,3,200,0,7,0.3,0.1077892874862118,0.6032267800204347,1.0,0.9811539940816792,1.0,1.0,0.966183574879227,0.4615384615384615,coverage,insA_pos54_ds12
10,200,4,200,0,6,0.4,0.1681775812035096,0.6873304525498135,1.0,0.9811539940816792,1.0,1.0,0.970873786407767,0.5714285714285714,coverage,insA_pos54_ds25
10,200,4,200,0,6,0.4,0.1681775812035096,0.6873304525498135,1.0,0.9811539940816792,1.0,1.0,0.970873786407767,0.5714285714285714,coverage,insA_pos54_ds50
10,200,5,200,0,5,0.5,0.2365895936154873,0.7634104063845126,1.0,0.9811539940816792,1.0,1.0,0.975609756097561,0.6666666666666666,coverage,insA_pos54_ds75
10,200,6,200,0,4,0.6,0.3126695474501864,0.8318224187964902,1.0,0.9811539940816792,1.0,1.0,0.9803921568627452,0.75,coverage,insCCCC_ds6
10,200,9,200,0,1,0.9,0.5958436145024278,0.9821242504842788,1.0,0.9811539940816792,1.0,1.0,0.9950248756218906,0.9473684210526316,coverage,insCCCC_ds12
10,200,10,200,0,0,1.0,0.7224598312333834,1.0,1.0,0.9811539940816792,1.0,1.0,1.0,1.0,coverage,insCCCC_ds25
10,200,10,200,0,0,1.0,0.7224598312333834,1.0,1.0,0.9811539940816792,1.0,1.0,1.0,1.0,coverage,insCCCC_ds50
10,200,10,200,0,0,1.0,0.7224598312333834,1.0,1.0,0.9811539940816792,1.0,1.0,1.0,1.0,coverage,insCCCC_ds75
10,200,6,200,0,4,0.6,0.3126695474501864,0.8318224187964902,1.0,0.9811539940816792,1.0,1.0,0.9803921568627452,0.75,coverage,insC_pos23_ds6
10,200,7,200,0,3,0.7,0.3967732199795651,0.892210712513788,1.0,0.9811539940816792,1.0,1.0,0.9852216748768472,0.8235294117647058,coverage,insC_pos23_ds12
10,200,7,200,0,3,0.7,0.3967732199795651,0.892210712513788,1.0,0.9811539940816792,1.0,1.0,0.9852216748768472,0.8235294117647058,coverage,insC_pos23_ds25
10,200,8,200,0,2,0.8,0.4901568467207233,0.9433190520193068,1.0,0.9811539940816792,1.0,1.0,0.99009900990099,0.8888888888888888,coverage,insC_pos23_ds50
10,200,7,200,0,3,0.7,0.3967732199795651,0.892210712513788,1.0,0.9811539940816792,1.0,1.0,0.9852216748768472,0.8235294117647058,coverage,insC_pos23_ds75
10,200,5,200,0,5,0.5,0.2365895936154873,0.7634104063845126,1.0,0.9811539940816792,1.0,1.0,0.975609756097561,0.6666666666666666,coverage,insG_ds6
10,200,7,200,0,3,0.7,0.3967732199795651,0.892210712513788,1.0,0.9811539940816792,1.0,1.0,0.9852216748768472,0.8235294117647058,coverage,insG_ds12
10,200,8,200,0,2,0.8,0.4901568467207233,0.9433190520193068,1.0,0.9811539940816792,1.0,1.0,0.99009900990099,0.8888888888888888,coverage,insG_ds25
10,200,9,200,0,1,0.9,0.5958436145024278,0.9821242504842788,1.0,0.9811539940816792,1.0,1.0,0.9950248756218906,0.9473684210526316,coverage,insG_ds50
10,200,9,200,0,1,0.9,0.5958436145024278,0.9821242504842788,1.0,0.9811539940816792,1.0,1.0,0.9950248756218906,0.9473684210526316,coverage,insG_ds75
10,200,6,200,0,4,0.6,0.3126695474501864,0.8318224187964902,1.0,0.9811539940816792,1.0,1.0,0.9803921568627452,0.75,coverage,insG_pos54_ds6
10,200,9,200,0,1,0.9,0.5958436145024278,0.9821242504842788,1.0,0.9811539940816792,1.0,1.0,0.9950248756218906,0.9473684210526316,coverage,insG_pos54_ds12
10,200,10,200,0,0,1.0,0.7224598312333834,1.0,1.0,0.9811539940816792,1.0,1.0,1.0,1.0,coverage,insG_pos54_ds25
